Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NC_000962.3	1	1524		plus	chromosomal replication initiator protein DnaA	dnaA	885041	protein-coding			NP_214515.1	chromosomal replication initiator protein DnaA	507	Rv0001
NC_000962.3	2052	3260		plus	DNA polymerase III subunit beta	dnaN	887092	protein-coding			NP_214516.1	DNA polymerase III subunit beta	402	Rv0002
NC_000962.3	3280	4437		plus	DNA replication/repair protein RecF	recF	887089	protein-coding			NP_214517.1	DNA replication/repair protein RecF	385	Rv0003
NC_000962.3	4434	4997		plus	hypothetical protein		887088	protein-coding			NP_214518.1	hypothetical protein	187	Rv0004
NC_000962.3	5240	7267		plus	DNA gyrase subunit B	gyrB	887081	protein-coding			NP_214519.2	DNA gyrase subunit B	675	Rv0005
NC_000962.3	7302	9818		plus	DNA gyrase subunit A	gyrA	887105	protein-coding			NP_214520.1	DNA gyrase subunit A	838	Rv0006
NC_000962.3	9914	10828		plus	membrane protein		885982	protein-coding			NP_214521.1	membrane protein	304	Rv0007
NC_000962.3	10887	10960		plus	tRNA-Ile	ileT	2700464	tRNA						Rvnt01
NC_000962.3	11112	11184		plus	tRNA-Ala	alaT	2700469	tRNA						Rvnt02
NC_000962.3	11874	12311		minus	cell wall synthesis protein CwsA		887085	protein-coding			NP_214522.1	cell wall synthesis protein CwsA	145	Rv0008c
NC_000962.3	12468	13016		plus	iron-regulated peptidyl-prolyl cis-trans isomerase PpiA	ppiA	887087	protein-coding			NP_214523.1	iron-regulated peptidyl-prolyl cis-trans isomerase PpiA	182	Rv0009
NC_000962.3	13133	13558		minus	membrane protein		887082	protein-coding			NP_214524.1	membrane protein	141	Rv0010c
NC_000962.3	13714	13995		minus	cell division protein CrgA		887074	protein-coding			NP_214525.1	cell division protein CrgA	93	Rv0011c
NC_000962.3	14089	14877		plus	membrane protein		887083	protein-coding			NP_214526.1	membrane protein	262	Rv0012
NC_000962.3	14914	15612		plus	anthranilate synthase component II	trpG	885955	protein-coding			YP_177615.1	anthranilate synthase component II	232	Rv0013
NC_000962.3	15590	17470		minus	serine/threonine-protein kinase PknB	pknB	887072	protein-coding			NP_214528.1	serine/threonine-protein kinase PknB	626	Rv0014c
NC_000962.3	17467	18762		minus	serine/threonine-protein kinase PknA	pknA	885953	protein-coding			NP_214529.1	serine/threonine-protein kinase PknA	431	Rv0015c
NC_000962.3	18759	20234		minus	penicillin-binding protein PbpA	pbpA	887078	protein-coding			NP_214530.1	penicillin-binding protein PbpA	491	Rv0016c
NC_000962.3	20231	21640		minus	cell division protein RodA	rodA	887075	protein-coding			NP_214531.1	cell division protein RodA	469	Rv0017c
NC_000962.3	21637	23181		minus	phosphoserine/threonine phosphatase PstP	pstP	887070	protein-coding			NP_214532.1	phosphoserine/threonine phosphatase PstP	514	Rv0018c
NC_000962.3	23270	23737		minus	FHA domain-containing protein FhaB	fhaB	887079	protein-coding			NP_214533.1	FHA domain-containing protein FhaB	155	Rv0019c
NC_000962.3	23861	25444		minus	FHA domain-containing protein FhaA	fhaA	887067	protein-coding			NP_214534.1	FHA domain-containing protein FhaA	527	Rv0020c
NC_000962.3	25644	25726		plus	tRNA-Leu	leuT	2700444	tRNA						Rvnt03
NC_000962.3	25913	26881		minus	hypothetical protein		887066	protein-coding			NP_214535.1	hypothetical protein	322	Rv0021c
NC_000962.3	27023	27442		minus	transcriptional regulator WhiB5	whiB5	887071	protein-coding			NP_214536.1	transcriptional regulator WhiB5	139	Rv0022c
NC_000962.3	27595	28365		plus	transcriptional regulator		887062	protein-coding			NP_214537.1	transcriptional regulator	256	Rv0023
NC_000962.3	28362	29207		plus	NLP/P60 family protein		887061	protein-coding			NP_214538.1	NLP/P60 family protein	281	Rv0024
NC_000962.3	29245	29607		plus	hypothetical protein		887060	protein-coding			NP_214539.1	hypothetical protein	120	Rv0025
NC_000962.3	29722	31068		plus	hypothetical protein		887057	protein-coding			NP_214540.1	hypothetical protein	448	Rv0026
NC_000962.3	31189	31506		plus	hypothetical protein		887054	protein-coding			NP_214541.1	hypothetical protein	105	Rv0027
NC_000962.3	31514	31819		plus	hypothetical protein		885812	protein-coding			NP_214542.1	hypothetical protein	101	Rv0028
NC_000962.3	32057	33154		plus	hypothetical protein		887053	protein-coding			NP_214543.1	hypothetical protein	365	Rv0029
NC_000962.3	33224	33553		plus	hypothetical protein		887051	protein-coding			NP_214544.1	hypothetical protein	109	Rv0030
NC_000962.3	34295	36610		plus	8-amino-7-oxononanoate synthase	bioF2	887050	protein-coding			NP_214546.1	8-amino-7-oxononanoate synthase	771	Rv0032
NC_000962.3	36607	36870		plus	acyl carrier protein AcpA	acpA	887052	protein-coding			NP_214547.1	acyl carrier protein AcpA	87	Rv0033
NC_000962.3	36867	37262		plus	hypothetical protein		887046	protein-coding			NP_214548.1	hypothetical protein	131	Rv0034
NC_000962.3	37259	38947		plus	fatty-acid--CoA ligase FadD34	fadD34	887048	protein-coding			YP_177686.1	fatty-acid--CoA ligase FadD34	562	Rv0035
NC_000962.3	39056	39829		minus	hypothetical protein		887043	protein-coding			NP_214550.1	hypothetical protein	257	Rv0036c
NC_000962.3	39877	41202		minus	MFS-type transporter		887042	protein-coding			NP_214551.1	MFS-type transporter	441	Rv0037c
NC_000962.3	41304	41912		plus	hypothetical protein		887045	protein-coding			NP_214552.1	hypothetical protein	202	Rv0038
NC_000962.3	42004	42351		minus	transmembrane protein		887038	protein-coding			NP_214553.1	transmembrane protein	115	Rv0039c
NC_000962.3	42433	43365		minus	hypothetical protein	mtc28	887037	protein-coding			NP_214554.2	hypothetical protein	310	Rv0040c
NC_000962.3	43562	46471		plus	leucine--tRNA ligase	leuS	887040	protein-coding			NP_214555.1	leucine--tRNA ligase	969	Rv0041
NC_000962.3	46581	47207		minus	transcriptional regulator		887034	protein-coding			NP_214556.1	transcriptional regulator	208	Rv0042c
NC_000962.3	47366	48100		minus	HTH-type transcriptional regulator		887032	protein-coding			NP_214557.1	HTH-type transcriptional regulator	244	Rv0043c
NC_000962.3	48233	49027		minus	oxidoreductase		887030	protein-coding			NP_214558.1	oxidoreductase	264	Rv0044c
NC_000962.3	49043	49939		minus	hydrolase		887029	protein-coding			NP_214559.1	hydrolase	298	Rv0045c
NC_000962.3	50021	51124		minus	inositol-3-phosphate synthase	ino1	887028	protein-coding			NP_214560.1	inositol-3-phosphate synthase	367	Rv0046c
NC_000962.3	51185	51727		minus	hypothetical protein		887031	protein-coding			NP_214561.1	hypothetical protein	180	Rv0047c
NC_000962.3	51828	52697		minus	membrane protein		887027	protein-coding			NP_214562.1	membrane protein	289	Rv0048c
NC_000962.3	52831	53244		plus	hypothetical protein		887024	protein-coding			NP_214563.1	hypothetical protein	137	Rv0049
NC_000962.3	53663	55699		plus	bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase	ponA1	887065	protein-coding			YP_177687.1	bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase	678	Rv0050
NC_000962.3	55696	57378		plus	transmembrane protein		887018	protein-coding			NP_214565.1	transmembrane protein	560	Rv0051
NC_000962.3	57410	57973		plus	hypothetical protein		887015	protein-coding			NP_214566.3	hypothetical protein	187	Rv0052
NC_000962.3	58192	58482		plus	30S ribosomal protein S6	rpsF	887020	protein-coding			NP_214567.1	30S ribosomal protein S6	96	Rv0053
NC_000962.3	58586	59080		plus	single-strand DNA-binding protein	ssb	887013	protein-coding			NP_214568.1	single-strand DNA-binding protein	164	Rv0054
NC_000962.3	59122	59376		plus	30S ribosomal protein S18	rpsR1	887022	protein-coding			YP_177688.1	30S ribosomal protein S18	84	Rv0055
NC_000962.3	59409	59867		plus	50S ribosomal protein L9	rplI	887010	protein-coding			NP_214570.1	50S ribosomal protein L9	152	Rv0056
